invoice_date,vendor_name,invoice_id,payment_term,product_name,product_code,quantity,invoice_total_amount,invoice_total_currency_symbol,invoice_total_currency_code,vendor_tax_id,customer_name,customer_address_receipient,created_at
2023-02-23T00:00:00.000Z,,,,,,,198.0,$,TWD,,Mx Lxx Sxx Mxxx,,2024-01-13T00:03:12.731Z
2023-03-23T00:00:00.000Z,,,,,,,197.0,$,TWD,,Mx Lxx Sxx Mxxx,,2024-01-13T00:03:12.782Z
2023-04-23T00:00:00.000Z,,,,,,,197.0,$,TWD,,Mx Lxx Sxx Mxxx,,2024-01-13T00:03:12.800Z
2023-05-23T00:00:00.000Z,,,,,,,197.0,$,TWD,,Mx Lxx Sxx Mxxx,,2024-01-13T00:03:12.789Z
2022-09-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5153.48,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:00.718Z
2022-10-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5361.0,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.441Z
2022-11-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5507.21,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.318Z
2023-01-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5251.07,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.375Z
2023-02-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5250.1,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:00.702Z
2023-03-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5320.53,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.446Z
2023-04-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,5335.98,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:00.712Z
2023-05-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6204.1,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.346Z
2023-06-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6103.08,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.433Z
2023-07-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6048.1,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.351Z
2023-08-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6048.1,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:00.758Z
2023-09-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6048.1,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.426Z
2023-10-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6101.42,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.248Z
2023-11-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6399.4,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.369Z
2023-12-01T00:00:00.000Z,Akamai,,,Servers for RoyaleAPI,,,6710.27,$,USD,,"See-ming Lee
SML Universe Limited","See-ming Lee
SML Universe Limited",2024-01-12T23:35:01.410Z
2022-06-01T00:00:00.000Z,CLOUDFLARE®,,,Cloudflare Pro Plan,,1,62.7,$,USD,,,,2024-01-12T21:19:53.364Z
2022-07-01T00:00:00.000Z,CLOUDFLARE®,,,Cloudflare Pro Plan,,1,62.75,$,USD,,,,2024-01-12T21:19:53.134Z
2022-08-01T00:00:00.000Z,CLOUDFLARE®,,,Cloudflare Pro Plan,,1,59.7,$,USD,,,,2024-01-12T21:19:53.788Z
2022-09-01T00:00:00.000Z,CLOUDFLARE®,,,Cloudflare Pro Plan,,1,61.8,$,USD,,,,2024-01-12T21:19:53.370Z
